Concatenar;Status;Semi-acabado;Descrição Semi-acabado;Qtd Semi-acabado;Centro Semi-acabado;Matéria-Prima;Descrição Matéria-Prima;Qtd Matéria-Prima;UN Matéria-Prima;;;
9700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;011018;AMIDO DE MILHO PREGELATINIZADO; 18,000 ;KG;;;
10700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;011357;AROMA LIMAO NATURAL; 2,700 ;KG;;;
1700161;SEMI ACABADO;700161;CLORTALIDONA 50MG COMP;2.000.000;600;010041;DIOXIDO SILICIO COLOIDAL ANIDRO; 3,000 ;KG;;;
2700161;SEMI ACABADO;700161;CLORTALIDONA 50MG COMP;2.000.000;600;010071;CELULOSE MIC (TIPO200); 182,000 ;KG;;;
3700161;SEMI ACABADO;700161;CLORTALIDONA 50MG COMP;2.000.000;600;010311;ESTEARATO MAGNESIO; 6,000 ;KG;;;
4700161;SEMI ACABADO;700161;CLORTALIDONA 50MG COMP;2.000.000;600;010729;CLORTALIDONA; 100,000 ;KG;;;
5700161;SEMI ACABADO;700161;CLORTALIDONA 50MG COMP;2.000.000;600;010923;CROSCARMELOSE SODICA; 3,000 ;KG;;;
6700161;SEMI ACABADO;700161;CLORTALIDONA 50MG COMP;2.000.000;600;010953;TALCO; 5,600 ;KG;;;
7700161;SEMI ACABADO;700161;CLORTALIDONA 50MG COMP;2.000.000;600;011050;OXIDO FERRO AMARELO; 0,400 ;KG;;;
1700228;SEMI ACABADO;700228;SIMETICONA COMPRIMIDOS 40MG;1.232.400;600;010041;DIOXIDO SILICIO COLOIDAL ANIDRO; 15,000 ;KG;;;
2700228;SEMI ACABADO;700228;SIMETICONA COMPRIMIDOS 40MG;1.232.400;600;010046;ALCOOL ETILICO; 60,000 ;KG;;;
3700228;SEMI ACABADO;700228;SIMETICONA COMPRIMIDOS 40MG;1.232.400;600;010586;SIMETICONE, USP; 55,200 ;KG;;;
4700228;SEMI ACABADO;700228;SIMETICONA COMPRIMIDOS 40MG;1.232.400;600;010739;LACTOSE (50/70); 498,000 ;KG;;;
5700228;SEMI ACABADO;700228;SIMETICONA COMPRIMIDOS 40MG;1.232.400;600;010923;CROSCARMELOSE SODICA; 18,000 ;KG;;;
6700228;SEMI ACABADO;700228;SIMETICONA COMPRIMIDOS 40MG;1.232.400;600;010964;POVIDONA K29-32; 30,000 ;KG;;;
1700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010010;ACETONA **; 10,000 ;KG;;;
2700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010018;ACIDO CITRICO ANIDRO; 4,000 ;KG;;;
