Estoques WM com texto breve de material

Nº depósito				WNM

		Material	Texto breve material		UMB	Lote	Cen.	Dep.	Tp.	Posiç	Estq.dispon.	Data venc.	Últ.movim.	T	Últ.entrd.
		011389	SUCRALFATO		KG	M5L2626	600	PES	999	AJU-SAIDA	      0,010	24.09.2028	26.08.2026	S	26.08.2026
		011405	CAPS 3 AZUL/AZUL		UN	M5A4265	600	PES	999	AJU-SAIDA	 28.965,664	28.09.2028	28.08.2026	S	26.08.2026
		011431	CLOR.SERTRALINA (C1)		KG	M5C0925-1	600	PES	999	AJU-SAIDA	      0,022	01.01.2028	26.08.2026	S	26.08.2026
		011431	CLOR.SERTRALINA (C1)		KG	M5A7283-1	600	PES	999	AJU-SAIDA	      0,021	01.12.2027	26.08.2026	S	26.08.2026
		011431	CLOR.SERTRALINA (C1)		KG	M5A7282-1	600	PES	999	AJU-SAIDA	      0,010	01.12.2027	26.08.2026	S	26.08.2026
		011473	VALSARTANA		KG	M5D9793-1	600	PES	999	AJU-SAIDA	      1,399	23.05.2028	26.08.2026	S	26.08.2026
		011473	VALSARTANA		KG	M5D9794-1	600	PES	999	AJU-SAIDA	      0,008	26.05.2028	26.08.2026	S	26.08.2026
		011473	VALSARTANA		KG	M5D9798-1	600	PES	999	AJU-SAIDA	      0,008	28.05.2028	26.08.2026	S	26.08.2026
		011473	VALSARTANA		KG	M5D9801-1	600	PES	999	AJU-SAIDA	      0,004	28.05.2028	26.08.2026	S	26.08.2026
		011473	VALSARTANA		KG	M5D9811-1	600	PES	999	AJU-SAIDA	      2,056	25.05.2028	26.08.2026	S	26.08.2026
		011473	VALSARTANA		KG	M5D9813-1	600	PES	999	AJU-SAIDA	      0,677	25.05.2028	26.08.2026	S	26.08.2026
		011532	ACIDO MEFENAMICO		KG	M4L4018-1	600	PES	999	AJU-SAIDA	      2,739	20.06.2028	26.08.2026	S	26.08.2026
		011537	ESPIRONOLACTONA		KG	M5P8567	600	PES	999	AJU-SAIDA	      0,007	01.05.2029	26.08.2026	S	26.08.2026
		011537	ESPIRONOLACTONA		KG	M5H2490-1	600	PES	999	AJU-SAIDA	      0,003	16.05.2029	26.08.2026	S	26.08.2026
		011537	ESPIRONOLACTONA		KG	M5H2491-1	600	PES	999	AJU-SAIDA	      0,002	13.05.2029	26.08.2026	S	26.08.2026
		011569	TROMETAMOL CETOROLACO		KG	M5F7563	600	PES	999	AJU-SAIDA	      0,007	24.10.2030	26.08.2026	S	26.08.2026
		011609	PARACETAMOL 90%		KG	M5E1323-1	600	PES	999	AJU-SAIDA	      0,255	16.02.2027	26.08.2026	S	26.08.2026
		011609	PARACETAMOL 90%		KG	M5E1324-1	600	PES	999	AJU-SAIDA	      0,395	16.02.2027	28.08.2026	S	28.08.2026
		011609	PARACETAMOL 90%		KG	M5E1322-1	600	PES	999	AJU-SAIDA	      0,015	16.02.2027	26.08.2026	S	26.08.2026
		011609	PARACETAMOL 90%		KG	M5E1316-1	600	PES	999	AJU-SAIDA	      0,041	17.02.2027	28.08.2026	S	28.08.2026
		011609	PARACETAMOL 90%		KG	M5E1315-1	600	PES	999	AJU-SAIDA	      6,915	16.02.2027	26.08.2026	S	26.08.2026
		011609	PARACETAMOL 90%		KG	M5E0284-1	600	PES	999	AJU-SAIDA	      0,225	14.02.2027	26.08.2026	S	26.08.2026
		011609	PARACETAMOL 90%		KG	M5E0278-1	600	PES	999	AJU-SAIDA	      1,455	14.02.2027	26.08.2026	S	26.08.2026
		011609	PARACETAMOL 90%		KG	M5E1317-1	600	PES	999	AJU-SAIDA	      0,007	17.02.2027	28.08.2026	S	28.08.2026
		011609	PARACETAMOL 90%		KG	M5E0277-1	600	PES	999	AJU-SAIDA	      0,135	14.02.2027	26.08.2026	S	26.08.2026
		011646	MICOFENOLATO DE MOFETILA		KG	M5G1552	600	PES	999	AJU-SAIDA	      0,047	01.11.2029	26.08.2026	S	26.08.2026
		011646	MICOFENOLATO DE MOFETILA		KG	M5G1554	600	PES	999	AJU-SAIDA	      0,034	01.11.2029	26.08.2026	S	26.08.2026
		011646	MICOFENOLATO DE MOFETILA		KG	M5G1558	600	PES	999	AJU-SAIDA	      0,107	01.10.2029	26.08.2026	S	26.08.2026
		011664	CELULOSE+LACTOSE		KG	M4P9325	600	PES	999	AJU-SAIDA	      0,026	05.09.2027	26.08.2026	S	26.08.2026
		011675	LACTOSE (ANIDRA)		KG	M5P7399	600	PES	999	AJU-SAIDA	      0,028	01.12.2027	28.08.2026	S	28.08.2026
